A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
9.7252,1.5431,2.3237,7.2574,7.5643,PL
9.6847,1.6949,1.751,7.277,7.5773,PL
9.7119,1.5268,1.6387,7.4425,7.5633,PL
9.3421,1.5221,1.6872,6.6408,7.094,PL
9.7324,1.7924,2.142,6.6739,7.2216,PL
9.5343,1.4927,1.5187,7.605,7.5779,PL
7.884,1.5293,1.507,4.8104,6.0232,TL
8.0867,2.3702,2.1728,4.2188,6.0895,TL
8.7966,1.4731,2.0552,5.9271,6.5685,TL
8.0292,1.4767,2.9388,4.9687,6.1937,TL
7.8721,1.9121,1.9962,5.2914,5.8659,TL
7.8421,1.7784,1.7422,4.7925,6.4765,TL
9.1367,1.495,1.5868,6.2609,6.7698,TL
7.8587,1.7832,1.6714,4.4615,5.7651,TL
7.5963,2.1998,1.8313,3.7396,6.0024,TL
8.6038,1.5718,1.5796,5.5034,6.5794,TL
8.6717,1.8642,2.2404,6.0222,6.552,TL
8.0785,1.4767,1.495,4.6931,5.8664,TL
8.0928,1.7499,1.902,5.4675,6.3001,TL
8.4321,1.6201,1.6248,5.6382,6.2353,TL
8.8292,1.5097,1.5481,6.0051,6.748,TL
8.9685,1.8217,2.0628,6.5915,6.7053,TL
7.6692,1.6108,1.5132,4.5093,5.9006,TL
7.399,1.76,1.5226,4.6769,5.4493,TL
8.8673,1.621,1.7934,5.7945,6.6958,TL
9.3199,1.8852,2.0518,6.3896,6.8257,TL
7.727,1.6111,1.7432,4.2751,5.8013,TL
7.6354,1.9445,2.0611,4.8332,5.8162,TL
8.6694,1.6161,2.7141,5.3905,6.4062,TL
8.7404,1.8683,2.1376,5.9536,6.5879,TL
9.8756,1.507,1.5343,7.0934,7.4382,TL
9.5758,1.5812,1.5506,6.7331,6.9414,TL
9.1847,1.8233,1.9171,7.0874,7.4273,TL
8.3806,1.6179,1.7638,5.8083,6.1118,TL
8.5815,2.2709,2.3049,5.6264,6.5984,TL
9.7292,1.4749,1.5483,7.06,7.29,TL
9.7591,1.5104,1.5293,7.152,7.2902,TL
8.0147,2.0702,1.9165,5.3898,6.1301,TL
